fund_name,expense_ratio_pct
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),2.51
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),1.89
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),1.88
Alfalah Islamic Stable Return Fund Plan X,0.19
Alfalah Islamic Stable Return Fund Plan XII,0.00
Alfalah Islamic Stable Return Fund Plan XIII,0.00
Alfalah KPK Employee Pension Fund,0.55
Alfalah KTrade Islamic Plan VII,0.57
Alfalah MTS Fund,1.70
Alfalah Money Market Fund - II,0.47
Alfalah Pension Fund - II,183.97
Alfalah Pension Fund - II,118.34
Alfalah Pension Fund - II,32878066828.18
Alfalah Savings Growth Fund,1.11
Alfalah Special Savings Fund - I,1.99
Alfalah Special Savings Fund - II,1.26
Alfalah Stable Return Fund Plan XX,1.42
Alfalah Stable Return Fund Plan XXI,0.39
Alfalah Stable Return Fund Plan XXII,0.26
Alfalah Stable Return Fund Plan XXIII,0.26
Alfalah Stable Return Fund Plan XXIV,0.44
Alfalah Stable Return Fund Plan XXVI,0.26
Alfalah Stable Return Fund Plan XXVII,0.00
Alfalah Stock Fund - II,5.37
Alfalah Strategic Allocation Fund Plan - I,0.17
Alhamra Cash Management Optimizer,0.67
Alhamra Daily Dividend Fund,1.38
Alhamra Government Securities Plan I,1.70
Alhamra Islamic Asset Allocation Fund,4.07
Alhamra Islamic Income Fund,1.08
Alhamra Islamic Money Market Fund,1.02
Alhamra Islamic Pension Fund,3.51
Alhamra Islamic Pension Fund,1.54
Alhamra Islamic Pension Fund,1.36
Alhamra Islamic Punjab Pension Fund,0.73
Alhamra Islamic Stock Fund,4.19
Alhamra Opportunity Fund (Dividend Strategy Plan),4.63
Alhamra Smart Portfolio,0.74
Alhamra Wada Fund (Alhamra Wada Plan XVI),0.25
Allied Finergy Fund,4.59
Askari Cash Fund,1.21
Askari High Yield Scheme,1.92
Askari Sovereign Yield Enhancer,2.06
Atlas Dividend Yield Fund,2.60
Atlas Financial Sector Fund,2.78
Atlas Income Fund,0.64
Atlas Islamic Cash Fund,0.62
Atlas Islamic Dedicated Stock Fund,4.27
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),0.31
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),0.33
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),0.30
Atlas Islamic Income Fund,0.64
